ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N151556656;147510;2010-01-07T19:11:15Z;true;2;3564276;29.721433;-95.333948;[]
N151556658;147510;2010-01-07T19:11:15Z;true;2;3564276;29.721559;-95.3343;[]
N151556662;147510;2010-01-07T19:11:15Z;true;2;3564276;29.721428;-95.334357;[]
N151556665;147510;2010-01-07T19:11:15Z;true;2;3564276;29.721272;-95.334367;[]
N151556668;147510;2010-01-07T19:11:15Z;true;2;3564276;29.721247;-95.334353;[]
N151556671;147510;2010-01-07T19:11:15Z;true;2;3564276;29.721171;-95.334311;[]
N3693884889;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7199642;-95.3407963;[]
N3687667964;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7311424;-95.3387101;[]
N3693884880;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198262;-95.3401536;[]
N3687667961;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7311259;-95.338786;[]
N3687667960;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7311084;-95.3387938;[]
N3784190229;3119079;2015-10-13T05:18:19Z;true;1;34603558;29.7226873;-95.3572919;[]
N3687667962;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7311302;-95.3387778;[]
N3693884888;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7199635;-95.3404453;[]
N3693884887;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7199516;-95.3407542;[]
N3693884886;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7199342;-95.340493;[]
N3693884885;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198904;-95.3403479;[]
N3693884884;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198793;-95.3405124;[]
N3693884883;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198561;-95.340239;[]
N3693884882;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198483;-95.3402421;[]
N3693884881;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7198469;-95.3403648;[]
N3687667976;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7312432;-95.3399141;[]
N3687667979;3119079;2015-08-09T05:36:34Z;true;1;33212368;29.7312511;-95.3398763;[]
N3693884891;3119079;2015-08-12T18:23:38Z;true;1;33297310;29.7200145;-95.3407766;[]
